Timestamp	Level	Component	Message
2025-05-07 09:55:00	INFO	System	Application started on port 8080.
2025-05-07 09:55:05	DEBUG	Config	Loaded configuration from 'config.yaml'.
2025-05-07 09:55:10	INFO	Database	Connected to PostgreSQL database.
2025-05-07 09:55:15	INFO	Cache	Redis cache initialized.
2025-05-07 09:55:20	WARNING	Config	Deprecated setting 'legacy_mode' detected.
2025-05-07 10:02:00	ERROR	System	Out of memory warning - 95% RAM usage.
2025-05-07 10:02:30	INFO	HealthCheck	All services healthy.
2025-05-07 10:03:00	WARNING	System	CPU usage exceeded 80% threshold.
2025-05-07 12:10:00	INFO	System	Background scheduler started
2025-05-07 12:10:05	WARNING	System	CPU temperature high
